duration_seconds,packets_per_second,bytes_per_second,src2dst_packets_per_second,dst2src_packets_per_second,src2dst_bytes_per_second,dst2src_bytes_per_second,label
7.997,34.01275478304364,38215.70588970864,13.88020507690384,20.1325497061398,1325.3720145054397,36890.3338752032,proxy
9.126,39.99561691869384,36592.26386149463,22.68244575936884,17.313171159325005,35383.410037256195,1208.8538242384398,proxy
0.414,14.492753623188406,10292.270531400967,7.246376811594203,7.246376811594203,8570.048309178745,1722.2222222222224,proxy
6.184,68.07891332470892,72415.91203104786,44.307891332470895,23.771021992238033,71273.77102199223,1142.1410090556274,proxy
0.344,566.8604651162791,546351.7441860465,366.2790697674419,200.58139534883722,536084.3023255814,10267.441860465116,proxy
0.366,30.05464480874317,7808.743169398907,13.66120218579235,16.39344262295082,7224.043715846995,584.6994535519126,proxy
1.049,262.1544327931363,226487.13060057198,116.30123927550048,145.85319351763584,6734.985700667303,219752.1448999047,proxy
4.794,80.3087192323738,78715.47768043388,29.203170629954112,51.105548602419695,1473.9257405089697,77241.55193992492,proxy
1.282,14.040561622464898,3751.170046801872,6.240249609984399,7.800312012480499,3421.216848673947,329.95319812792513,proxy
6.123,103.21737710272741,105363.22064347542,38.706516413522785,64.51086068920463,1730.0342969132778,103633.18634656214,proxy
0.56,19.642857142857142,6799.999999999999,8.928571428571427,10.714285714285714,6423.214285714285,376.7857142857143,proxy
7.339,80.66494072761957,87717.26393241585,29.97683608120997,50.68810464640959,1533.1789072080664,86184.0850252078,proxy
0.129,46.51162790697674,13596.8992248062,15.503875968992247,31.007751937984494,12209.302325581395,1387.596899224806,proxy
0.375,53.333333333333336,19965.333333333332,26.666666666666668,26.666666666666668,4701.333333333333,15264.0,proxy
4.713,292.3827710587736,321237.8527477191,100.36070443454275,192.02206662423086,1557.818799066412,319680.0339486527,proxy
0.589,33.955857385398986,12283.531409168083,16.977928692699493,16.977928692699493,2994.90662139219,9288.624787775892,proxy
5.785,105.27225583405358,103011.23595505618,38.54796888504754,66.72428694900604,1831.114952463267,101180.1210025929,proxy
5.474,116.73364998173182,125460.90610157106,77.09170624771647,39.64194373401534,123454.14687614176,2006.759225429302,proxy
0.621,9.66183574879227,4099.838969404187,3.2206119162640903,6.4412238325281805,3814.814814814815,285.02415458937196,proxy
7.889,110.02661934338953,111110.40689567752,70.73139814932183,39.295221194067686,110645.20218025098,465.20471542654326,proxy
9.113,23.373203116427085,20606.60594754746,12.948535059804675,10.424668056622409,20224.953363327117,381.6525842203446,proxy
0.071,830.9859154929578,813183.0985915493,535.2112676056339,295.77464788732397,813183.0985915493,0.0,proxy
9.077,30.626859094414453,28357.937644596233,16.74562079982373,13.881238294590723,27908.89060262201,449.0470419742206,proxy
0.224,464.2857142857143,571808.0357142857,312.5,151.78571428571428,571808.0357142857,0.0,proxy
4.475,138.77094972067042,149669.27374301676,92.73743016759778,46.03351955307263,148848.93854748603,820.3351955307263,proxy
6.633,94.82888587366199,97462.68656716419,34.52434795718378,60.30453791647822,1597.0149253731342,95865.67164179105,proxy
0.237,37.9746835443038,8856.540084388185,16.877637130801688,21.09704641350211,7953.5864978902955,902.9535864978903,proxy
1.055,190.52132701421803,223890.99526066353,68.24644549763033,122.27488151658768,6570.616113744076,217320.37914691944,proxy
0.282,28.368794326241137,5574.468085106383,14.184397163120568,14.184397163120568,4826.241134751774,748.22695035461,proxy
